59
0.000000e+00	4.872489e-19
4.912000e-02	5.995766e-19
1.006000e-01	7.372928e-19
1.547000e-01	9.057060e-19
2.114000e-01	1.111206e-18
2.709000e-01	1.360939e-18
3.333000e-01	1.663800e-18
3.988000e-01	2.030264e-18
4.675000e-01	2.472284e-18
5.396000e-01	3.003471e-18
6.152000e-01	3.638994e-18
6.945000e-01	4.395749e-18
7.778000e-01	5.290384e-18
8.651000e-01	6.340080e-18
9.567000e-01	7.560136e-18
1.053000e+00	8.961333e-18
1.154000e+00	1.054769e-17
1.259000e+00	1.231119e-17
1.370000e+00	1.422719e-17
1.487000e+00	1.625144e-17
1.609000e+00	1.831175e-17
1.737000e+00	2.031398e-17
1.871000e+00	2.213928e-17
2.013000e+00	2.365675e-17
2.160000e+00	2.475771e-17
2.316000e+00	2.535034e-17
2.479000e+00	2.539360e-17
2.649000e+00	2.490576e-17
2.829000e+00	2.399443e-17
3.017000e+00	2.274678e-17
3.214000e+00	2.129788e-17
3.421000e+00	1.978186e-17
3.638000e+00	1.831426e-17
3.866000e+00	1.698415e-17
4.105000e+00	1.584922e-17
4.356000e+00	1.494220e-17
4.619000e+00	1.426786e-17
4.895000e+00	1.389039e-17
5.184000e+00	1.371799e-17
5.488000e+00	1.371661e-17
5.807000e+00	1.385154e-17
6.141000e+00	1.409782e-17
6.492000e+00	1.442525e-17
6.859000e+00	1.481428e-17
7.246000e+00	1.524619e-17
7.650000e+00	1.571065e-17
8.075000e+00	1.619919e-17
8.521000e+00	1.670540e-17
8.989000e+00	1.722533e-17
9.479000e+00	1.775946e-17
9.994000e+00	1.830722e-17
1.053000e+01	1.887013e-17
1.110000e+01	1.945676e-17
1.169000e+01	2.068648e-17
1.232000e+01	1.911016e-17
1.297000e+01	1.745983e-17
1.366000e+01	1.581015e-17
1.438000e+01	1.421641e-17
1.513000e+01	1.269831e-17
