NGRP_SPACE	3
SPACE_BOUND(eV)   13.600000   24.587387   54.417760   inf   
NGRP_TIME	1
TIME_BOUND(MYR)   0.000000   inf   

hnu            alphae             alphai             factgrp

17.9087139468  3.42023557809e-22  3.19218060719e-22  0.769923932738
32.5864317739  6.62279605918e-23  6.06571839078e-23  0.230075891068
55.6621660507  1.16142701989e-23  1.15856478863e-23  1.76194762129e-07
